"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","3327","","couriers.LoginTest","","couriers.LoginTest","","courierCanLoggedIn",""
"passed","","","2012","","orders.OrdersParamTest","","orders.OrdersParamTest","","orderCanBeCreatedWithColor[1]",""
"passed","","","976","","couriers.LoginTest","","couriers.LoginTest","","loginNonexistentCourierFails",""
"passed","","","4288","","couriers.LoginTest","","couriers.LoginTest","","loginWithoutLoginFails",""
"passed","","","4107","","couriers.LoginTest","","couriers.LoginTest","","loginWithInvalidPasswordFails",""
"passed","","","2061","","orders.OrdersParamTest","","orders.OrdersParamTest","","orderCanBeCreatedWithColor[3]",""
"passed","","","1098","","couriers.CourierTest","","couriers.CourierTest","","courierWithoutLoginCanNotBeCreated",""
"passed","","","2254","","orders.OrdersParamTest","","orders.OrdersParamTest","","orderCanBeCreatedWithColor[2]",""
"passed","","","4425","","couriers.CourierTest","","couriers.CourierTest","","courierWithBusyLoginCanNotBeCreated",""
"passed","","","4050","","couriers.CourierTest","","couriers.CourierTest","","identicalCourierCanNotBeCreated",""
"passed","","","3557","","couriers.CourierTest","","couriers.CourierTest","","courierCanBeCreated",""
"passed","","","7847","","couriers.CourierTest","","couriers.CourierTest","","courierWithoutPasswordCanNotBeCreated",""
"passed","","","4029","","couriers.LoginTest","","couriers.LoginTest","","loginWithInvalidLoginFails",""
"failed","","","64339","","couriers.LoginTest","","couriers.LoginTest","","loginWithoutPasswordFails",""
"passed","","","7953","","orders.OrderTest","","orders.OrderTest","","listOfOrdersCanBeGot",""
"passed","","","2203","","orders.OrdersParamTest","","orders.OrdersParamTest","","orderCanBeCreatedWithColor[0]",""
